SITE_ID,LATITUDE,LONGITUDE,YEAR,MONTH,NEE,TA,WTD,SWIN,EVI_MOD,TA_CRU,PRE_CRU,PET_CRU,TS_SURF,TS_DEEP,VPD,VPD_CRU,SD
-,°,°,yyyy,mm,g C m-2 mo-1,C,cm,W m-2,-,C,mm,mm,C,C,kPa,kPa,cm
1,52.695,-83.9452,2011,1,NaN,NaN,NaN,NaN,-0.03095,-22.70000076,33.70000076,0,NaN,NaN,NaN,0.044587491,NaN
1,52.695,-83.9452,2011,2,NaN,NaN,NaN,NaN,-0.0201,-19.5,42.70000076,2.800000042,NaN,NaN,NaN,0.086419431,NaN
1,52.695,-83.9452,2011,3,NaN,NaN,NaN,NaN,-0.03835,-13.69999981,20.80000114,12.40000018,1.177070048,0.165263285,0.400750625,0.208495982,60.5429957
1,52.695,-83.9452,2011,4,5.311396859,-1.443875001,NaN,239.0755063,0.09865,-4.099999905,41.90000153,36.00000143,1.388315149,0.217015117,0.4820654,0.383104268,36.66546896
1,52.695,-83.9452,2011,5,-2.606072495,6.155086653,NaN,228.0125191,0.2745,5.400000095,30.89999962,77.5,5.151801347,2.125527609,0.711605306,0.780125017,NaN
1,52.695,-83.9452,2011,6,-20.62211817,13.65809931,NaN,295.8679747,0.33795,12.5,56.5,108.0000043,13.55702222,10.60127813,1.440956861,1.277101157,NaN
1,52.695,-83.9452,2011,7,-22.56180864,16.99313103,NaN,234.8822812,0.3552,17.30000114,56,117.7999985,16.17837029,14.14016129,1.311643022,1.548723216,NaN
1,52.695,-83.9452,2011,8,-18.51632438,15.46899395,NaN,174.9590193,0.28825,15.80000019,56.79999924,93,15.50682459,14.38519825,0.981071737,1.265977628,NaN
1,52.695,-83.9452,2011,9,-12.53530202,11.16178403,NaN,139.9349761,0.2943,9.5,70.80000305,41.99999928,11.42734306,11.42150694,0.847948656,0.664984481,NaN
1,52.695,-83.9452,2011,10,-2.290289878,5.410596588,NaN,81.85546882,0.2512,4.300000191,44.79999924,18.60000074,6.693091193,7.695668516,0.489717791,0.351992532,NaN
1,52.695,-83.9452,2011,11,5.243260633,-4.943616888,NaN,42.78948095,0.0454,-4.5,38,0,1.260365731,2.847116271,0.115994636,0.122197147,NaN
1,52.695,-83.9452,2011,12,5.139797346,-16.60830415,NaN,35.51191923,0.02755,-14.10000038,30.60000038,0,0.208476126,1.43818918,0.0586835,0.112194783,NaN
1,52.695,-83.9452,2012,1,5.024972382,-19.40392792,NaN,45.06001564,0.00955,-19.5,41.10000229,0,-0.233469738,0.7910821,0.042599613,0.061007766,NaN
1,52.695,-83.9452,2012,2,3.768053046,-15.75040252,NaN,87.00129857,-0.0346,-16.39999962,25.70000076,2.800000042,-0.136047773,0.68382579,0.074315868,0.120259575,NaN
1,52.695,-83.9452,2012,3,4.165184795,-8.125796374,NaN,144.7114577,0.04355,-6,21,24.80000037,0.055709005,0.803691196,0.196460349,0.32683198,NaN
1,52.695,-83.9452,2012,4,1.676875737,-1.937385024,NaN,226.065587,0.2545,-2.700000048,22.10000038,39.00000215,0.458774407,0.991966527,0.474327277,0.410544048,NaN
1,52.695,-83.9452,2012,5,-7.326463782,6.173540325,NaN,211.1317123,0.2728,6.599999905,46.70000076,74.40000296,4.449367608,3.252142326,0.678710027,0.757175179,NaN
1,52.695,-83.9452,2012,6,-17.58034592,15.6446278,NaN,242.5917895,0.3619,14.40000057,56.79999924,105,13.27104409,9.739064931,1.286571878,1.279705158,NaN
1,52.695,-83.9452,2012,7,-22.43205226,17.36998049,NaN,237.4611173,0.3576,17.39999962,59.20000076,114.7000015,16.26625,14.02819892,1.281130258,1.473642782,NaN
1,52.695,-83.9452,2012,8,-16.72259268,14.4734086,NaN,182.7580391,0.33865,15.19999981,67.40000153,89.90000296,14.40324932,13.38899866,0.945829995,1.185153403,NaN
1,52.695,-83.9452,2012,9,-8.196302842,9.751377097,NaN,124.6347042,0.31665,9,62.5,45,10.50005556,10.80835139,0.716185778,0.627354574,NaN
1,52.695,-83.9452,2012,10,4.108459933,2.544662633,NaN,58.38579383,0.18295,1.600000024,46.10000229,9.30000037,4.782707997,5.936381384,0.168983409,0.182072047,NaN
1,52.695,-83.9452,2012,11,5.472431784,-3.413598534,NaN,39.88266087,0.0841,-6.300000191,36.79999924,0,0.829475487,2.168572819,0.102319547,0.091082053,0.819299982
